rel_id,head,head_label,relation,tail,tail_label,description,doc_id,chunk_id
REL_000018,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_FAULT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控面板显示异常,FaultPhenomenon,系统管路安装不当可能导致气体泄漏故障,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000019,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_FAULT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_重要参数故障,FaultCause,遥控系统可能发生电源中断故障导致电控失效,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_18
REL_000020,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_倾斜摇摆环境条件,Parameter,系统运行需满足倾斜摇摆环境参数要求,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_2
REL_000021,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_双气源净化装置_输出气压 0.6MPa,Parameter,系统在气源失气工况下具有转速设定值保持时间的性能参数,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_5
REL_000022,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_振动环境条件_往复机械处所,Parameter,系统运行需满足一般处所振动参数要求,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_2
REL_000023,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_最大合排时间 2 秒,Parameter,系统具备换向时间性能指标,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_7
REL_000024,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_紫铜管规格,Parameter,系统管路安装依赖紫铜管规格参数,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000025,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_绝缘电阻,Parameter,系统具备绝缘电阻技术指标,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_7
REL_000026,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_高温高湿环境条件,Parameter,系统规定的环境温度工作范围,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_1
REL_000027,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_齿轮箱脱排指令,Parameter,遥控系统具备控制齿轮箱脱排的命令参数,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_23
REL_000028,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_SAFETY_NOTE,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_减速停车预报警,SafetyNote,系统在驾驶室遥控时必须具备减速停车预报警的安全功能,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_5
REL_000029,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,HAS_SAFETY_NOTE,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控控制单元_PLC 微机_防异物进入要求,SafetyNote,系统整体需符合相关船级社建造规范,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_3
REL_000030,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,MONITORS,船舶_主推进系统,System,遥控系统监测主推进系统状态以提供减速停车预报警,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_5
REL_000031,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,REQUIRES,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,系统气动遥控功能依赖气源供应,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_1
REL_000032,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,REQUIRES,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_联系厂家维修 PLC,RepairMethod,系统管路安装前必须执行吹净维护步骤,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000033,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统,System,REQUIRES,船舶_机舱遥控专用低压气瓶,Equipment,系统运行依赖机舱遥控专用低压气瓶提供气源,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_3
REL_000034,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_PLC 微机工作不正常,FaultPhenomenon,REPAIRED_BY,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_联系厂家维修 PLC,RepairMethod,PLC 故障时的指定维修处理方式,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_27
REL_000035,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_安全系统,Equipment,CONTROLS,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控台,Equipment,安全系统独立发送故障降速或停车信号控制遥控单元,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_19
REL_000036,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_安全系统,Equipment,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_安全系统_停车电磁阀,Component,安全系统配备停车电磁阀用于紧急断油,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_19
REL_000037,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_安全系统_停车电磁阀,Component,CONTROLS,船舶_主推进系统_陕柴 PC2-6 型船用主机,Equipment,停车电磁阀动作直接控制主机断油停车,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_19
REL_000038,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机旁合排转速差限制,SafetyNote,PREVENTS,船舶_主推进系统_气控换向齿轮箱_齿轮箱离合器,Component,限制合排转速差可防止齿轮箱离合器因冲击过大而损坏,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_20
REL_000039,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,CONNECTS_TO,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,阀箱设备安装位置邻近机舱控制箱，存在物理连接关系,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_15
REL_000040,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,CONNECTS_TO,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_辅车钟单元,Equipment,机舱控制箱组合连接辅车钟单元以实现机旁通讯,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_14
REL_000041,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,CONNECTS_TO,驾驶室_主车钟,Equipment,机舱控制箱与驾驶室主车钟连接以接收运行指令,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_14
REL_000042,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,CONTROLS,船舶_主推进系统_陕柴 PC2-6 型船用主机_主柴油机调速器_PG（WOODWORD）型调速器,Component,机旁操纵时人工通过机舱控制箱区域操纵调速器气动执行器,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_18
REL_000043,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱_蜂鸣器,Component,机舱控制箱内装有蜂鸣器用于发出声响报警信号,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_20
REL_000044,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控显示控制板,Component,阀箱内部包含比例阀组件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_7
REL_000045,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_阀箱_膜片执行器,Component,阀箱内部包含膜片执行器组件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_7
REL_000046,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,HAS_FAULT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控面板显示异常,FaultPhenomenon,阀箱设备可能发生阀件损坏故障,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000047,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_双气源净化装置_输出气压 0.6MPa,Parameter,机舱控制箱设备具备特定的防护等级参数,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_2
REL_000048,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,HAS_SAFETY_NOTE,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱设备便于观察与单人操车要求,SafetyNote,控制箱安装位置需满足便于观察和不影响主机操作的安全要求,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_3
REL_000049,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,HAS_SAFETY_NOTE,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控控制单元_PLC 微机_防异物进入要求,SafetyNote,机舱控制箱安装需遵循距离主机调速手柄较近的安全要求,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_14
REL_000050,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,MONITORS,船舶_主推进系统_陕柴 PC2-6 型船用主机,Equipment,机舱控制箱监测主机操作状态及运行指令,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_14
REL_000051,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,CONNECTS_TO,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,双气源净化装置输出清洁气源连接至机舱阀箱,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_16
REL_000052,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,DIAGNOSED_BY,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_调试_遥控操纵功能检查,DiagnosticMethod,气源净化装置的定期诊断检查方法,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_27
REL_000053,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,双气源净化装置包含开关阀作为其核心控制组件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_16
REL_000054,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控显示控制板,Component,气源组件内部包含空气过滤器作为关键子部件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_6
REL_000055,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_双气源净化装置_输出气压 0.6MPa,Parameter,气源组件运行需满足特定的工作压力参数,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_6
REL_000056,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,HAS_SAFETY_NOTE,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控控制单元_PLC 微机_防异物进入要求,SafetyNote,气源处理装置安装需靠近气瓶并便于操作,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_3
REL_000057,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,REPAIRED_BY,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_联系厂家维修 PLC,RepairMethod,气源净化装置的定期保养维护方法,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_27
REL_000058,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,REQUIRES,船舶_机舱遥控专用低压气瓶,Equipment,双气源净化装置依赖船厂配置的低压气瓶提供初始气源,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_16
REL_000059,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_联系厂家维修 PLC,RepairMethod,PREVENTS,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_管路堵塞,FaultPhenomenon,吹净维护可有效防止管路堵塞故障,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000060,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_联系厂家维修 PLC,RepairMethod,PREVENTS,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控面板显示异常,FaultPhenomenon,吹净维护可有效防止阀件被杂物损坏,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000061,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_调试_遥控操纵功能检查,DiagnosticMethod,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_1.25 倍额定气压试验值,Parameter,气压试验方法依赖 1.25 倍额定气压参数,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4
REL_000062,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_调试_遥控操纵功能检查,DiagnosticMethod,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_失气报警阈值 0.45MPa,Parameter,失气报警试验需将气源降至 0.45MPa 触发报警,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_25
REL_000063,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_调试_遥控操纵功能检查,DiagnosticMethod,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_最大合排时间 2 秒,Parameter,换向程序调整需满足 6-8 秒的换向时间参数,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_25
REL_000064,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_调试_遥控操纵功能检查,DiagnosticMethod,HAS_PARAMETER,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_脱排延时 2 秒,Parameter,换向程序调整需满足 2 秒的脱排延时参数,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_25
REL_000065,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_调试_遥控操纵功能检查,DiagnosticMethod,REQUIRES,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_机舱控制箱,Equipment,机旁操纵调试需确认机舱控制箱上的机旁灯及开关状态,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_25
REL_000066,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_调试_遥控操纵功能检查,DiagnosticMethod,REQUIRES,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_气源,Component,换向程序调整需接通电源和气源,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_25
REL_000067,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_调试_遥控操纵功能检查,DiagnosticMethod,REQUIRES,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_遥控显示控制板,Component,试灯功能检查依赖试灯按钮进行操作,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_24
REL_000068,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_调试_遥控操纵功能检查,DiagnosticMethod,REQUIRES,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_阀箱_膜片执行器,Component,调速机构调整需确保膜片执行器位移与调速手柄同步,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_25
REL_000069,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_调试_遥控操纵功能检查,DiagnosticMethod,REQUIRES,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_齿轮箱油压检测板,Component,通电调整调速机构时需有齿轮箱油压信号输出,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_25
REL_000070,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_转速测量显示单元,Equipment,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_转速测量显示单元_主机测速探头盒,Component,转速测量显示单元包含主机测速探头作为核心测量部件,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_13
REL_000071,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_转速测量显示单元,Equipment,HAS_COMPONENT,CDQY2A-PC2-6 型 船用主柴油机电气遥控系统_转速测量显示单元_测速齿盘,Component,转速测量显示单元包含测速齿盘作为尾轴测速信号源,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,电气::CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_13
